'Elapsed time','V5'
'seconds','mV'
0.000,-0.065
0.003,-0.065
0.006,-0.065
0.008,-0.065
0.011,-0.065
0.014,-0.065
0.017,-0.065
0.019,-0.065
0.022,-0.080
0.025,-0.080
0.028,-0.085
0.031,-0.085
0.033,-0.075
0.036,-0.070
0.039,-0.070
0.042,-0.065
0.044,-0.055
0.047,-0.050
0.050,-0.050
0.053,-0.040
0.056,-0.040
0.058,-0.055
0.061,-0.075
0.064,-0.080
0.067,-0.085
0.069,-0.070
0.072,-0.080
0.075,-0.080
0.078,-0.090
0.081,-0.095
0.083,-0.090
0.086,-0.095
0.089,-0.110
0.092,-0.120
0.094,-0.145
0.097,-0.135
0.100,-0.105
0.103,-0.095
0.106,-0.105
0.108,-0.120
0.111,-0.135
0.114,-0.125
0.117,-0.125
0.119,-0.115
0.122,-0.115
0.125,-0.125
0.128,-0.140
0.131,-0.140
0.133,-0.130
0.136,-0.125
0.139,-0.140
0.142,-0.145
0.144,-0.150
0.147,-0.150
0.150,-0.130
0.153,-0.115
0.156,-0.125
0.158,-0.135
0.161,-0.160
0.164,-0.195
0.167,-0.200
0.169,-0.205
0.172,-0.225
0.175,-0.255
0.178,-0.300
0.181,-0.290
0.183,-0.235
0.186,-0.130
0.189,-0.035
0.192,0.050
0.194,0.120
0.197,0.200
0.200,0.310
0.203,0.435
0.206,0.535
0.208,0.580
0.211,0.475
0.214,0.210
0.217,-0.085
0.219,-0.230
0.222,-0.250
0.225,-0.215
0.228,-0.180
0.231,-0.185
0.233,-0.160
0.236,-0.150
0.239,-0.150
0.242,-0.180
0.244,-0.180
0.247,-0.160
0.250,-0.165
0.253,-0.170
0.256,-0.165
0.258,-0.185
0.261,-0.185
0.264,-0.185
0.267,-0.170
0.269,-0.160
0.272,-0.155
0.275,-0.175
0.278,-0.195
0.281,-0.185
0.283,-0.185
0.286,-0.175
0.289,-0.175
0.292,-0.195
0.294,-0.190
0.297,-0.180
0.300,-0.165
0.303,-0.170
0.306,-0.170
0.308,-0.170
0.311,-0.190
0.314,-0.185
0.317,-0.180
0.319,-0.170
0.322,-0.175
0.325,-0.190
0.328,-0.200
0.331,-0.195
0.333,-0.185
0.336,-0.170
0.339,-0.170
0.342,-0.185
0.344,-0.195
0.347,-0.175
0.350,-0.200
0.353,-0.185
0.356,-0.180
0.358,-0.185
0.361,-0.205
0.364,-0.190
0.367,-0.180
0.369,-0.185
0.372,-0.200
0.375,-0.215
0.378,-0.205
0.381,-0.210
0.383,-0.200
0.386,-0.185
0.389,-0.205
0.392,-0.200
0.394,-0.210
0.397,-0.205
0.400,-0.185
0.403,-0.185
0.406,-0.200
0.408,-0.215
0.411,-0.225
0.414,-0.220
0.417,-0.200
0.419,-0.200
0.422,-0.215
0.425,-0.225
0.428,-0.235
0.431,-0.245
0.433,-0.240
0.436,-0.240
0.439,-0.240
0.442,-0.245
0.444,-0.260
0.447,-0.260
0.450,-0.265
0.453,-0.265
0.456,-0.280
0.458,-0.285
0.461,-0.295
0.464,-0.295
0.467,-0.300
0.469,-0.290
0.472,-0.300
0.475,-0.315
0.478,-0.315
0.481,-0.315
