'Elapsed time','ECG1'
'seconds','mV'
0,0.16
0.008,0.18
0.016,0.17
0.023,0.18
0.031,0.18
0.039,0.17
0.047,0.17
0.055,0.13
0.062,0.13
0.07,0.1
0.078,0.06
0.086,0.04
0.094,0.01
0.102,-0.01
0.109,-0.02
0.117,-0.02
0.125,-0.02
0.133,-0.03
0.141,0
0.148,0
0.156,0
0.164,0.02
0.172,0.03
0.18,0.04
0.188,0.03
0.195,0.07
0.203,0.05
0.211,0.06
0.219,0.05
0.227,0.05
0.234,0.05
0.242,0.05
0.25,0.06
0.258,0.05
0.266,0.05
0.273,0.03
0.281,0.03
0.289,0.03
0.297,0.02
0.305,0.02
0.312,0.02
0.32,0.01
0.328,0
0.336,0
0.344,0
0.352,-0.01
0.359,0
0.367,-0.01
0.375,-0.01
0.383,-0.01
0.391,-0.01
0.398,-0.01
0.406,-0.02
0.414,-0.02
0.422,-0.01
0.43,-0.01
0.438,0
0.445,0.06
0.453,0.05
0.461,0.09
0.469,0.11
0.477,0.16
0.484,0.13
0.492,0.05
0.5,0.03
0.508,-0.09
0.516,-0.12
0.523,-0.09
0.531,-0.08
0.539,-0.09
0.547,-0.08
0.555,-0.08
0.562,-0.07
0.57,-0.08
0.578,0.09
0.586,0.45
0.594,0.79
0.602,-1.17
0.609,-1.91
0.617,-1.64
0.625,-1.28
0.633,-0.52
0.641,-0.15
0.648,-0.03
0.656,-0.03
0.664,0.01
0.672,0.03
0.68,0.05
0.688,0.06
0.695,0.08
0.703,0.09
0.711,0.1
0.719,0.13
0.727,0.14
0.734,0.16
0.742,0.15
0.75,0.18
0.758,0.2
0.766,0.22
0.773,0.22
0.781,0.26
0.789,0.28
0.797,0.28
0.805,0.3
0.812,0.29
0.82,0.29
0.828,0.27
0.836,0.24
0.844,0.21
0.852,0.17
0.859,0.13
0.867,0.1
0.875,0.05
0.883,0.03
0.891,0.04
0.898,0.05
0.906,0.04
0.914,0.05
0.922,0.06
0.93,0.06
0.938,0.06
0.945,0.06
0.953,0.05
0.961,0.04
0.969,0.07
0.977,0.06
0.984,0.07
0.992,0.06
1,0.08
1.008,0.08
1.016,0.08
1.023,0.09
1.031,0.1
1.039,0.1
1.047,0.09
1.055,0.09
1.062,0.09
1.07,0.08
1.078,0.07
1.086,0.07
1.094,0.06
1.102,0.05
1.109,0.05
1.117,0.05
1.125,0.02
1.133,0.04
1.141,0.03
1.148,0.01
1.156,0.01
1.164,0
1.172,0.01
1.18,0
1.188,0
1.195,0
1.203,0
1.211,-0.02
1.219,-0.01
1.227,-0.01
1.234,-0.02
1.242,-0.02
1.25,-0.02
1.258,-0.02
1.266,0.02
1.273,0.02
1.281,0.06
1.289,0.06
1.297,0.14
1.305,0.1
1.312,0.02
1.32,-0.02
1.328,-0.13
1.336,-0.13
1.344,-0.13
1.352,-0.1
1.359,-0.1
1.367,-0.1
1.375,-0.11
1.383,-0.11
1.391,-0.09
1.398,0.16
1.406,0.43
1.414,0.75
1.422,-1.52
1.43,-1.93
1.438,-1.36
1.445,-1.11
1.453,-0.44
1.461,-0.08
1.469,-0.06
1.477,-0.04
1.484,0
1.492,0.02
1.5,0.05
1.508,0.06
1.516,0.06
1.523,0.09
1.531,0.09
1.539,0.1
1.547,0.12
1.555,0.14
1.562,0.14
1.57,0.16
1.578,0.19
1.586,0.21
1.594,0.21
1.602,0.24
1.609,0.25
1.617,0.25
1.625,0.25
1.633,0.26
1.641,0.24
1.648,0.21
1.656,0.19
1.664,0.17
1.672,0.11
1.68,0.07
1.688,0.05
1.695,0.01
1.703,0.01
1.711,-0.01
1.719,0.01
1.727,0
1.734,0.01
1.742,0.02
1.75,0.01
1.758,0.01
1.766,0.02
1.773,0.02
1.781,0.01
1.789,0.01
1.797,0.02
1.805,0.02
1.812,0.02
1.82,0.02
1.828,0.02
1.836,0.02
1.844,0.02
1.852,0.03
1.859,0.03
1.867,0.02
1.875,0.02
1.883,0.02
1.891,0.03
1.898,0.01
1.906,0.01
1.914,0
1.922,-0.02
1.93,0
1.938,-0.01
1.945,-0.02
1.953,-0.02
1.961,-0.02
1.969,-0.02
1.977,-0.03
1.984,-0.04
1.992,-0.05
2,-0.05
2.008,-0.06
2.016,-0.06
2.023,-0.06
2.031,-0.06
2.039,-0.06
2.047,-0.06
2.055,-0.06
2.062,-0.06
2.07,-0.02
2.078,-0.02
2.086,-0.01
2.094,0.03
2.102,0.08
2.109,0.09
2.117,0
2.125,-0.05
2.133,-0.13
2.141,-0.18
2.148,-0.16
2.156,-0.15
2.164,-0.13
2.172,-0.13
2.18,-0.14
2.188,-0.13
2.195,-0.14
2.203,-0.04
2.211,0.34
2.219,0.71
2.227,-1.05
2.234,-1.87
2.242,-1.58
2.25,-1.25
2.258,-0.54
2.266,-0.17
2.273,-0.07
2.281,-0.07
2.289,-0.03
2.297,-0.01
2.305,0.01
2.312,0.02
2.32,0.03
2.328,0.04
2.336,0.04
2.344,0.04
2.352,0.06
2.359,0.08
2.367,0.08
2.375,0.09
2.383,0.1
2.391,0.11
2.398,0.12
2.406,0.14
2.414,0.15
2.422,0.17
2.43,0.15
2.438,0.16
2.445,0.14
2.453,0.12
2.461,0.12
2.469,0.08
2.477,0.04
2.484,0.03
2.492,0.01
2.5,-0.02
2.508,-0.03
2.516,-0.01
2.523,-0.03
2.531,-0.01
2.539,0
2.547,0.01
2.555,0.01
2.562,0.02
2.57,0.02
2.578,0.01
2.586,0
2.594,0
2.602,0.01
2.609,0.01
2.617,0.02
2.625,0.01
2.633,0.01
2.641,0.03
2.648,0.03
2.656,0.01
2.664,0.02
2.672,0.01
2.68,0.03
2.688,0.01
2.695,-0.01
2.703,0.01
2.711,0.01
2.719,0
2.727,-0.01
2.734,-0.01
2.742,-0.01
2.75,-0.02
2.758,-0.01
2.766,-0.01
2.773,-0.02
2.781,-0.05
2.789,-0.02
2.797,-0.03
2.805,-0.02
2.812,-0.05
2.82,-0.03
2.828,-0.04
2.836,-0.04
2.844,-0.01
2.852,0.03
2.859,-0.02
2.867,0.07
2.875,0.06
2.883,0.13
2.891,0.1
2.898,0.03
2.906,-0.02
2.914,-0.12
2.922,-0.14
2.93,-0.15
2.938,-0.11
2.945,-0.13
2.953,-0.13
2.961,-0.14
2.969,-0.12
2.977,-0.14
2.984,0.08
2.992,0.34
3,0.67
3.008,-0.81
3.016,-1.64
3.023,-1.35
3.031,-1.11
3.039,-0.61
3.047,-0.21
3.055,-0.11
3.062,-0.09
3.07,-0.06
3.078,-0.03
3.086,-0.03
3.094,0
3.102,0
3.109,0.01
3.117,0.02
3.125,0.04
3.133,0.05
3.141,0.04
3.148,0.06
3.156,0.08
3.164,0.08
3.172,0.1
3.18,0.12
3.188,0.14
3.195,0.15
3.203,0.17
3.211,0.17
3.219,0.17
3.227,0.16
3.234,0.15
3.242,0.14
3.25,0.1
3.258,0.1
3.266,0.06
3.273,0.02
3.281,0
3.289,0.01
3.297,-0.02
3.305,-0.02
3.312,-0.01
3.32,-0.02
3.328,0.01
3.336,0
3.344,0
3.352,0.01
3.359,0.01
3.367,0.01
3.375,0.02
3.383,0.02
3.391,0.03
3.398,0.02
3.406,0.03
3.414,0.03
3.422,0.02
3.43,0.03
3.438,0.02
3.445,0.01
3.453,0.01
3.461,0.01
3.469,-0.01
3.477,0
3.484,0
3.492,0.01
3.5,-0.02
3.508,0
3.516,-0.01
3.523,-0.02
3.531,-0.01
3.539,-0.01
3.547,-0.02
3.555,-0.02
3.562,-0.02
3.57,-0.02
3.578,-0.02
3.586,-0.03
3.594,-0.02
3.602,-0.02
3.609,-0.04
3.617,-0.02
3.625,0.02
3.633,0.04
3.641,0.04
3.648,0.08
3.656,0.12
3.664,0.15
3.672,0.06
3.68,0.01
3.688,-0.05
3.695,-0.14
3.703,-0.11
3.711,-0.12
3.719,-0.11
3.727,-0.1
3.734,-0.1
3.742,-0.08
3.75,-0.1
3.758,-0.03
3.766,0.35
3.773,0.61
3.781,-0.46
3.789,-1.88
3.797,-1.9
3.805,-1.25
3.812,-0.63
3.82,-0.26
3.828,-0.03
3.836,-0.04
3.844,0
3.852,0.02
3.859,0.04
3.867,0.05
3.875,0.07
3.883,0.07
3.891,0.09
3.898,0.1
3.906,0.12
3.914,0.11
3.922,0.15
3.93,0.15
3.938,0.18
3.945,0.19
3.953,0.21
3.961,0.22
3.969,0.24
3.977,0.25
3.984,0.26
3.992,0.26
4,0.24
4.008,0.23
4.016,0.19
4.023,0.17
4.031,0.13
4.039,0.09
4.047,0.04
4.055,0
4.062,0
4.07,-0.01
4.078,-0.02
4.086,-0.02
4.094,0
4.102,0
4.109,0.01
4.117,0
4.125,0
4.133,-0.01
4.141,0.01
4.148,0
4.156,0
4.164,0.02
4.172,0.01
4.18,0.02
4.188,0.03
4.195,0.03
4.203,0.05
4.211,0.05
4.219,0.05
4.227,0.05
4.234,0.05
4.242,0.04
4.25,0.03
4.258,0.04
4.266,0.02
4.273,0.03
4.281,0.01
4.289,0.02
4.297,0
4.305,0.01
4.312,0.01
4.32,0.01
4.328,-0.01
4.336,-0.01
4.344,0
4.352,-0.02
4.359,-0.01
4.367,-0.01
4.375,-0.01
4.383,-0.02
4.391,-0.01
4.398,-0.02
4.406,-0.02
4.414,-0.02
4.422,-0.02
4.43,0.02
4.438,0.05
4.445,0.02
4.453,0.09
4.461,0.1
4.469,0.16
4.477,0.07
4.484,0.01
4.492,-0.05
4.5,-0.12
4.508,-0.1
4.516,-0.1
4.523,-0.08
4.531,-0.07
4.539,-0.09
4.547,-0.1
4.555,-0.09
4.562,-0.05
4.57,0.34
4.578,0.58
4.586,-0.42
4.594,-1.84
4.602,-1.8
4.609,-1.22
4.617,-0.57
4.625,-0.22
4.633,-0.04
4.641,-0.03
4.648,-0.02
4.656,0.01
4.664,0.02
4.672,0.05
4.68,0.05
4.688,0.04
4.695,0.06
4.703,0.08
4.711,0.08
4.719,0.11
4.727,0.11
4.734,0.12
4.742,0.14
4.75,0.14
4.758,0.18
4.766,0.18
4.773,0.21
4.781,0.21
4.789,0.22
4.797,0.22
4.805,0.22
4.812,0.19
4.82,0.18
4.828,0.16
4.836,0.14
4.844,0.09
4.852,0.04
4.859,0.02
4.867,0
4.875,0.01
4.883,0.02
4.891,0.01
4.898,0.02
4.906,0.03
4.914,0.03
4.922,0.04
4.93,0.03
4.938,0.04
4.945,0.03
4.953,0.03
4.961,0.02
4.969,0.04
4.977,0.04
4.984,0.03
4.992,0.04
5,0.04
5.008,0.04
5.016,0.04
5.023,0.05
5.031,0.06
5.039,0.04
5.047,0.04
5.055,0.04
5.062,0.02
5.07,0.02
5.078,0.02
5.086,0.01
5.094,0.01
5.102,0
5.109,-0.01
5.117,-0.02
5.125,-0.02
5.133,-0.01
5.141,-0.02
5.148,-0.03
5.156,-0.02
5.164,-0.03
5.172,-0.03
5.18,-0.04
5.188,-0.03
5.195,-0.03
5.203,-0.04
5.211,-0.05
5.219,-0.05
5.227,-0.03
5.234,-0.04
5.242,0.01
5.25,0.03
5.258,0.01
5.266,0.06
5.273,0.09
5.281,0.14
5.289,0.04
5.297,-0.01
5.305,-0.07
5.312,-0.14
5.32,-0.12
5.328,-0.1
5.336,-0.08
5.344,-0.08
5.352,-0.1
5.359,-0.06
5.367,-0.1
5.375,-0.05
5.383,0.34
5.391,0.59
5.398,-0.41
5.406,-1.79
5.414,-1.75
5.422,-1.16
5.43,-0.56
5.438,-0.21
5.445,-0.01
5.453,-0.01
5.461,0.01
5.469,0.04
5.477,0.05
5.484,0.07
5.492,0.09
5.5,0.08
5.508,0.09
5.516,0.09
5.523,0.1
5.531,0.11
5.539,0.13
5.547,0.13
5.555,0.14
5.562,0.16
5.57,0.16
5.578,0.19
5.586,0.18
5.594,0.2
5.602,0.21
5.609,0.21
5.617,0.19
5.625,0.17
5.633,0.16
5.641,0.15
5.648,0.12
5.656,0.09
5.664,0.05
5.672,0.03
5.68,0.01
5.688,0.02
5.695,0.02
5.703,0.02
5.711,0.04
5.719,0.03
5.727,0.03
5.734,0.02
5.742,0.05
5.75,0.04
5.758,0.04
5.766,0.04
5.773,0.04
5.781,0.04
5.789,0.04
5.797,0.06
5.805,0.06
5.812,0.07
5.82,0.05
5.828,0.07
5.836,0.07
5.844,0.06
5.852,0.06
5.859,0.07
5.867,0.05
5.875,0.06
5.883,0.03
5.891,0.02
5.898,0.02
5.906,0.03
5.914,0.02
5.922,0.01
5.93,0.02
5.938,0.01
5.945,0
5.953,0
5.961,0
5.969,0.01
5.977,-0.02
5.984,-0.01
5.992,-0.01
6,-0.02
6.008,-0.02
6.016,-0.02
6.023,-0.01
6.031,-0.02
6.039,-0.02
6.047,0.03
6.055,0.05
6.062,0.01
6.07,0.09
6.078,0.13
6.086,0.14
6.094,0.07
6.102,0.02
6.109,-0.05
6.117,-0.11
6.125,-0.09
6.133,-0.09
6.141,-0.09
6.148,-0.1
6.156,-0.1
6.164,-0.09
6.172,-0.12
6.18,-0.06
6.188,0.26
6.195,0.56
6.203,-0.05
6.211,-1.59
6.219,-1.53
6.227,-1.15
6.234,-0.62
6.242,-0.3
6.25,-0.04
6.258,-0.05
6.266,-0.03
6.273,0
6.281,0.03
6.289,0.02
6.297,0.04
6.305,0.06
6.312,0.08
6.32,0.07
6.328,0.09
6.336,0.1
6.344,0.09
6.352,0.13
6.359,0.13
6.367,0.15
6.375,0.14
6.383,0.16
6.391,0.18
6.398,0.18
6.406,0.19
6.414,0.19
6.422,0.19
6.43,0.17
6.438,0.17
6.445,0.16
6.453,0.13
6.461,0.12
6.469,0.09
6.477,0.06
6.484,0.03
6.492,0.03
6.5,0.02
6.508,0.01
6.516,0.04
6.523,0.03
6.531,0.03
6.539,0.04
6.547,0.03
6.555,0.05
6.562,0.05
6.57,0.06
6.578,0.06
6.586,0.05
6.594,0.07
6.602,0.05
6.609,0.05
6.617,0.05
6.625,0.06
6.633,0.05
6.641,0.04
6.648,0.04
6.656,0.04
6.664,0.02
6.672,0.02
6.68,0.03
6.688,0.02
6.695,0.01
6.703,0.02
6.711,0.01
6.719,0.02
6.727,0.01
6.734,0.01
6.742,0
6.75,0.01
6.758,0
6.766,0.01
6.773,0.01
6.781,0
6.789,0
6.797,0
6.805,0
6.812,-0.01
6.82,0
6.828,0.01
6.836,0.04
6.844,0.09
6.852,0.05
6.859,0.13
6.867,0.1
6.875,0.2
6.883,0.1
6.891,0.05
6.898,0
6.906,-0.11
6.914,-0.1
6.922,-0.11
6.93,-0.08
6.938,-0.06
6.945,-0.09
6.953,-0.09
6.961,-0.08
6.969,-0.07
6.977,0.25
6.984,0.5
6.992,0.43
7,-1.72
7.008,-1.89
7.016,-1.19
7.023,-0.79
7.031,-0.35
7.039,-0.02
7.047,0
7.055,0
7.062,0.02
7.07,0.05
7.078,0.06
7.086,0.07
7.094,0.1
7.102,0.11
7.109,0.11
7.117,0.12
7.125,0.14
7.133,0.14
7.141,0.16
7.148,0.18
7.156,0.19
7.164,0.2
7.172,0.22
7.18,0.25
7.188,0.25
7.195,0.26
7.203,0.26
7.211,0.26
7.219,0.24
7.227,0.22
7.234,0.22
7.242,0.17
7.25,0.12
7.258,0.08
7.266,0.05
7.273,0.02
7.281,0.01
7.289,0.01
7.297,0.03
7.305,0.03
7.312,0.04
7.32,0.04
7.328,0.05
7.336,0.04
7.344,0.06
7.352,0.05
7.359,0.04
7.367,0.04
7.375,0.05
7.383,0.04
7.391,0.04
7.398,0.05
7.406,0.05
7.414,0.04
7.422,0.05
7.43,0.04
7.438,0.04
7.445,0.04
7.453,0.04
7.461,0.03
7.469,0.02
7.477,0.01
7.484,0
7.492,-0.01
7.5,-0.01
7.508,-0.01
7.516,-0.01
7.523,-0.02
7.531,-0.02
7.539,-0.03
7.547,-0.02
7.555,-0.04
7.562,-0.04
7.57,-0.04
7.578,-0.05
7.586,-0.05
7.594,-0.05
7.602,-0.05
7.609,-0.07
7.617,-0.06
7.625,-0.04
7.633,0.02
7.641,-0.02
7.648,0.05
7.656,0.06
7.664,0.13
7.672,0.03
7.68,-0.02
7.688,-0.07
7.695,-0.18
7.703,-0.16
7.711,-0.15
7.719,-0.13
7.727,-0.13
7.734,-0.13
7.742,-0.14
7.75,-0.13
7.758,-0.12
7.766,0.21
7.773,0.44
7.781,0.55
7.789,-1.75
7.797,-1.93
7.805,-1.22
7.812,-0.94
7.82,-0.38
7.828,-0.04
7.836,-0.05
7.844,-0.02
7.852,0.01
7.859,0.02
7.867,0.02
7.875,0.05
7.883,0.05
7.891,0.06
7.898,0.08
7.906,0.09
7.914,0.09
7.922,0.1
7.93,0.11
7.938,0.13
7.945,0.14
7.953,0.16
7.961,0.18
7.969,0.2
7.977,0.21
7.984,0.23
7.992,0.23
8,0.22
8.008,0.21
8.016,0.18
8.023,0.15
8.031,0.13
8.039,0.1
8.047,0.05
8.055,0.01
8.062,-0.01
8.07,-0.01
8.078,-0.01
8.086,-0.02
8.094,0.01
8.102,0.02
8.109,0.04
8.117,0.04
8.125,0.04
8.133,0.04
8.141,0.04
8.148,0.04
8.156,0.04
8.164,0.03
8.172,0.05
8.18,0.05
8.188,0.04
8.195,0.05
8.203,0.08
8.211,0.07
8.219,0.08
8.227,0.08
8.234,0.08
8.242,0.07
8.25,0.06
8.258,0.06
8.266,0.07
8.273,0.05
8.281,0.04
8.289,0.04
8.297,0.04
8.305,0.02
8.312,0.05
8.32,0.03
8.328,0.02
8.336,0
8.344,0.02
8.352,0.01
8.359,-0.01
8.367,0
8.375,0
8.383,-0.03
8.391,-0.02
8.398,-0.03
8.406,-0.02
8.414,-0.03
8.422,-0.02
8.43,-0.01
8.438,0.03
8.445,0.01
8.453,0.04
8.461,0.07
8.469,0.14
8.477,0.1
8.484,0.04
8.492,-0.01
8.5,-0.13
8.508,-0.14
8.516,-0.12
8.523,-0.12
8.531,-0.12
8.539,-0.11
8.547,-0.11
8.555,-0.1
8.562,-0.11
8.57,0.03
8.578,0.34
8.586,0.71
8.594,-0.98
8.602,-1.84
8.609,-1.58
8.617,-1.26
8.625,-0.52
8.633,-0.17
8.641,-0.06
8.648,-0.05
8.656,-0.03
8.664,-0.01
8.672,0
8.68,0.02
8.688,0.04
8.695,0.04
8.703,0.07
8.711,0.06
8.719,0.08
8.727,0.1
8.734,0.11
8.742,0.12
8.75,0.13
8.758,0.15
8.766,0.15
8.773,0.18
8.781,0.18
8.789,0.2
8.797,0.2
8.805,0.19
8.812,0.2
8.82,0.18
8.828,0.16
8.836,0.13
8.844,0.12
8.852,0.07
8.859,0.03
8.867,0
8.875,-0.01
8.883,-0.02
8.891,-0.01
8.898,0
8.906,0.02
8.914,0.01
8.922,0.03
8.93,0.03
8.938,0.03
8.945,0.04
8.953,0.05
8.961,0.05
8.969,0.04
8.977,0.05
8.984,0.04
8.992,0.07
9,0.06
9.008,0.07
9.016,0.06
9.023,0.06
9.031,0.06
9.039,0.06
9.047,0.04
9.055,0.04
9.062,0.04
9.07,0.04
9.078,0.03
9.086,0
9.094,0.02
9.102,0
9.109,-0.01
9.117,0
9.125,0.01
9.133,-0.01
9.141,-0.01
9.148,-0.02
9.156,-0.02
9.164,-0.02
9.172,-0.04
9.18,-0.02
9.188,-0.02
9.195,-0.03
9.203,-0.02
9.211,-0.03
9.219,-0.04
9.227,-0.03
9.234,0
9.242,0.04
9.25,0
9.258,0.08
9.266,0.06
9.273,0.16
9.281,0.08
9.289,0.03
9.297,-0.01
9.305,-0.15
9.312,-0.1
9.32,-0.11
9.328,-0.1
9.336,-0.08
9.344,-0.11
9.352,-0.09
9.359,-0.09
9.367,-0.09
9.375,0.23
9.383,0.49
9.391,0.6
9.398,-1.55
9.406,-1.7
9.414,-1.11
9.422,-0.8
9.43,-0.42
9.438,-0.04
9.445,-0.05
9.453,-0.01
9.461,0.01
9.469,0.02
9.477,0.03
9.484,0.04
9.492,0.07
9.5,0.06
9.508,0.07
9.516,0.09
9.523,0.08
9.531,0.09
9.539,0.1
9.547,0.11
9.555,0.11
9.562,0.14
9.57,0.14
9.578,0.15
9.586,0.14
9.594,0.14
9.602,0.14
9.609,0.14
9.617,0.13
9.625,0.11
9.633,0.09
9.641,0.07
9.648,0.06
9.656,0.02
9.664,0.02
9.672,0.01
9.68,-0.01
9.688,-0.03
9.695,-0.02
9.703,-0.02
9.711,0.01
9.719,-0.01
9.727,0
9.734,-0.01
9.742,-0.01
9.75,-0.01
9.758,-0.01
9.766,-0.01
9.773,-0.01
9.781,-0.02
9.789,-0.01
9.797,-0.01
9.805,-0.02
9.812,0
9.82,0.01
9.828,-0.01
9.836,-0.02
9.844,-0.03
9.852,-0.01
9.859,-0.02
9.867,-0.03
9.875,-0.02
9.883,-0.01
9.891,-0.02
9.898,-0.02
9.906,-0.02
9.914,-0.03
9.922,-0.02
9.93,-0.02
9.938,-0.04
9.945,-0.04
9.953,-0.03
9.961,-0.03
9.969,-0.03
9.977,-0.04
9.984,-0.04
9.992,-0.05
